"country.of.origin","harvest.year","variety","processing.method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean.cup","sweetness","cupper.points","moisture","color","altitude_mean_meters","quality"
"Taiwan","2014","Typica","Washed / Wet",7.25,7.25,7.25,7,7.25,7.08,10,10,10,7,0.11,"Green",150,"bad"
"Taiwan","2014","Typica","Semi-washed / Semi-pulped",7.25,7.25,7.25,7.08,7.17,7.08,10,10,10,7,0.11,"Green",250,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,7.08,0.15,"None",1300,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,7.08,7,7.17,7.33,7.17,10,10,10,7.08,0.14,"Green",1300,"bad"
"Nicaragua","2017","Caturra","Washed / Wet",7.33,7.08,6.92,7.08,7.42,7.17,10,10,10,7,0.1,"Green",1250,"bad"
"Myanmar","2015","Other","Washed / Wet",7.17,7.33,7,7.42,7.17,7,10,10,10,6.92,0,"Green",3845,"bad"
"Mexico","2014","Typica","Washed / Wet",7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10,7.42,0,"Green",1400,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.25,7.25,7.25,7,7.25,7,10,10,10,7,0.11,"Green",250,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,7.25,0.12,"Green",1250,"bad"
"Mexico","2012","Other","Washed / Wet",7.08,7.33,7,7.33,7.08,7,10,10,10,7.17,0.11,"Green",1100,"bad"
"Mexico","2013","Bourbon","Washed / Wet",7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,7.17,0.12,"Green",1300,"bad"
"Mexico","2012","Other","Washed / Wet",7.17,7.17,6.92,7.25,7.33,7.08,10,10,10,7,0.12,"Green",1100,"bad"
"Mexico","2012","Catuai","Washed / Wet",7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,10,7.33,0.11,"Green",1100,"bad"
"Mexico","2012","Typica","Natural / Dry",7.33,7.25,7,7.42,7.17,7.17,9.33,10,10,7.25,0.12,"Green",1250,"bad"
"Mexico","2012","Other","Washed / Wet",7.17,7.33,7.08,7.58,7.33,7.08,10,9.33,10,7,0.11,"Green",1250,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.33,7.25,6.92,7.33,7.25,7.33,9.33,10,10,7.08,0.1,"Green",1700,"bad"
"Nicaragua","2014","Caturra","Washed / Wet",6.83,7.17,7.17,6.92,7.5,7.08,10,10,10,7.17,0.11,"Green",1250,"bad"
"Mexico","2012","Typica","Washed / Wet",7.17,7.08,7,7.25,7.5,7,10,10,10,6.83,0.12,"Green",1300,"bad"
"Taiwan","2013","Typica","Washed / Wet",7.08,7.08,7.25,7,7.17,7.17,10,10,10,7,0.1,"Blue-Green",600,"bad"
"Costa Rica","2013","Catuai","Washed / Wet",7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,0.1,"Bluish-Green",1100,"bad"
"Mexico","2013","Typica","Washed / Wet",7.58,7.08,7,7,7.5,6.92,10,10,10,6.67,0.12,"Green",1400,"bad"
"Mexico","2013","Bourbon","Washed / Wet",7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,0.13,"Green",1022,"bad"
"Mexico","2013","Bourbon","Washed / Wet",7.25,7.08,7,7.17,7.17,7.08,10,10,10,7,0.12,"Green",1300,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.25,7.17,7.17,7.08,7.17,7,10,10,10,6.92,0.14,"None",1450,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.25,7,7.08,7.08,7,10,10,10,7,0.1,"Green",1050,"bad"
"Guatemala","2016","Bourbon","Washed / Wet",7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,0.1,"Green",1219.2,"bad"
"El Salvador","2016","Bourbon","Washed / Wet",7.25,7.08,7,6.83,7.33,7.17,10,10,10,7,0,"Bluish-Green",1250,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.5,7,6.83,7.08,7.08,7.17,10,10,10,7,0.11,"Green",1310.64,"bad"
"Mexico","2013","Typica","Washed / Wet",7.42,7.25,6.83,7.58,7.17,6.58,10,10,10,6.83,0.12,"Green",1400,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.33,7.17,7,6.75,7.08,7,10,10,10,7.33,0.13,"None",975,"bad"
"Mexico","2012","Typica","Washed / Wet",7.08,7,6.92,7.33,7.25,7.08,10,10,10,6.92,0.12,"None",1250,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.25,6.92,6.92,7.33,7.25,7,10,10,10,6.92,0.13,"Green",1550,"bad"
"Nicaragua","2015","Caturra","Natural / Dry",6.92,6.92,7,7.42,7.25,7,10,10,10,7,0.12,"Green",1050,"bad"
"Colombia","2013","Caturra","Washed / Wet",7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,7.5,0,"Green",1550,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,10,7,0.12,"Green",1550,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,7,0.12,"Bluish-Green",1100,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.08,7.33,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.42,0.1,"Green",1219.2,"bad"
"Guatemala","2014","Other","Washed / Wet",7.25,7.33,6.83,7,7,7.17,10,10,10,6.83,0.1,"Green",1219.2,"bad"
"Mexico","2012","Typica","Washed / Wet",7,6.83,6.83,7.42,7.33,7.17,10,10,10,6.83,0.13,"Green",800,"bad"
"Colombia","2013","Caturra","Washed / Wet",7.42,7.25,6.75,7.25,7.42,7.25,9.33,9.33,10,7.33,0,"Green",1200,"bad"
"Mexico","2012","Typica","Washed / Wet",7,7,6.83,7.33,7.42,6.92,10,10,10,6.83,0.14,"None",950,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,10,7,0.14,"Green",750,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.08,6.83,6.83,7.25,7.42,7.08,10,10,10,6.75,0.11,"Blue-Green",850,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7,7,6.92,7.17,7.17,7.08,10,10,10,6.92,0.13,"Green",1000,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,9.33,7.42,0.1,"Green",1219.2,"bad"
"Honduras","2017","Catuai","Washed / Wet",7.58,7,6.75,6.92,7,6.92,10,10,10,7,0.11,"Green",1650,"bad"
"Guatemala","2016","Bourbon","Washed / Wet",7.08,7,6.92,7.42,7,6.92,10,10,10,6.83,0.11,"Green",1320,"bad"
"Guatemala","2015","Catuai","Washed / Wet",7.25,7.17,6.75,7.25,7,6.92,10,10,10,6.83,0.11,"Green",1550,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,10,7.17,0.14,"None",1550,"bad"
"Mexico","2012","Typica","Washed / Wet",7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,0.14,"Green",1450,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,0.1,"Green",1700,"bad"
"United States (Puerto Rico)","2013","Other","Washed / Wet",7.42,7.08,6.75,7.33,7.33,6.92,10,9.33,10,6.92,0.13,"Green",853.44,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7,6.92,7.25,7.33,7.08,9.33,10,10,6.83,0.16,"None",1500,"bad"
"Mexico","2012","Other","Washed / Wet",7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,6.92,0.11,"Green",1100,"bad"
"Mexico","2012","Typica","Washed / Wet",7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10,7.25,0.1,"Bluish-Green",1200,"bad"
"Guatemala","2014","Other","Washed / Wet",7.33,7.17,6.58,7.42,7.08,6.83,10,10,10,6.58,0.12,"Green",1219.2,"bad"
"Honduras","2014","Other","Washed / Wet",7,7,7,7,7,7,10,10,10,7,0.11,"Green",1350,"bad"
"Mexico","2012","Other","Natural / Dry",6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,0.12,"None",1300,"bad"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,7,0.14,"Green",1550,"bad"
"Mexico","2012","Typica","Washed / Wet",7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,6.83,0.14,"Green",12,"bad"
"Mexico","2013","Typica","Washed / Wet",7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,7,0.12,"Green",1300,"bad"
"Mexico","2012","Typica","Washed / Wet",7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,0.16,"None",1400,"bad"
"Nicaragua","2016","Caturra","Other",7.17,7,6.92,7,7,7,10,10,10,6.75,0.1,"Green",1100,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.33,7.08,6.33,7.25,7,7,10,10,10,6.75,0.12,"Green",1310.64,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,0.14,"Green",1320,"bad"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,7,0.14,"None",1250,"bad"
"China","2013","Typica","Washed / Wet",7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,0,"Green",1850,"bad"
"Mexico","2012","Caturra","Washed / Wet",6.92,6.92,6.67,7.25,7.17,6.92,10,10,10,6.83,0.13,"None",1150,"bad"
"Guatemala","2014","Other","Washed / Wet",7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,0.12,"Green",1219.2,"bad"
"Taiwan","2013","Typica","Washed / Wet",6.83,6.75,7.17,7.25,7,6.92,10,10,10,6.67,0.1,"Green",800,"bad"
"Mexico","2012","Typica","Washed / Wet",7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,0.13,"Green",1400,"bad"
"Mexico","2014","Bourbon","Washed / Wet",7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,0,"Green",1600,"bad"
"Mexico","2012","Typica","Washed / Wet",7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,0.12,"None",1400,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,0.13,"Green",1200,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,0.14,"None",1500,"bad"
"Guatemala","2014","Other","Washed / Wet",7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,0.1,"Green",1219.2,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,0.11,"Green",1310.64,"bad"
"Mexico","2012","Typica","Natural / Dry",7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,0.13,"Green",1300,"bad"
"Mexico","2012","Typica","Washed / Wet",7.08,6.83,6.67,7.25,7.25,6.92,10,9.33,10,6.75,0.11,"Green",1050,"bad"
"Taiwan","2016","Other","Washed / Wet",7.5,7.08,7.33,7.17,7.5,7.5,6.67,10,10,7.25,0,"Green",650,"bad"
"Honduras","2014","Other","Natural / Dry",6.83,7,6.67,7,7,6.83,10,10,10,6.67,0.11,"Green",1350,"bad"
"Guatemala","2014","Other","Washed / Wet",7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,0.1,"Green",1219.2,"bad"
"China","2013","Typica","Washed / Wet",7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,0.1,"Green",1200,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7,6.83,6.83,7.17,6.67,6.83,10,10,10,6.67,0.11,"Green",1310.64,"bad"
"Mexico","2012","Other","Washed / Wet",7.25,7.33,7,7,7.25,7.08,10,10,8,7.08,0.12,"Green",850,"bad"
"Costa Rica","2014","Caturra","Washed / Wet",7.5,7.25,7.42,7,7.08,6.83,8.67,9.33,10,6.83,0.12,"Green",1200,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.25,7,7,7.25,7.08,8,10,10,6.92,0.11,"Green",1248,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7,6.83,6.67,7.17,6.83,6.83,10,10,10,6.5,0.11,"Green",1310.64,"bad"
"Taiwan","2012","Typica","Washed / Wet",7.17,6.75,6.58,7.33,7.33,7.17,9.33,9.33,10,6.67,0.11,"Bluish-Green",775,"bad"
"Mexico","2012","Typica","Washed / Wet",7.17,6.75,6.58,6.75,6.83,6.75,10,10,10,6.67,0.13,"Green",1300,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.08,6.92,6.33,7,6.92,7,10,10,10,6.17,0.11,"Green",1310.64,"bad"
"Brazil","2018","Bourbon","Natural / Dry",7.5,7.33,7.42,7.58,7.58,6.92,8,8,10,7,0,"Green",890,"bad"
"Guatemala","2014","Other","Washed / Wet",7.33,7,6.83,7.17,7.17,7.17,9.33,9.33,9.33,6.67,0.1,"Green",1219.2,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7,6.67,7,6.92,6.92,9.33,9.33,10,6.83,0.15,"None",1500,"bad"
"Mexico","2012","Other","Washed / Wet",7.08,7,7,7.25,7.33,7.25,8.67,8.67,10,6.92,0.12,"Green",1200,"bad"
"Peru","2014","Caturra","Washed / Wet",7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,0,"Green",1200,"bad"
"Mexico","2012","Typica","Washed / Wet",7.17,6.58,6.58,7,7.25,6.58,9.33,9.33,10,6.58,0.13,"Green",1100,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,8.67,7,0.11,"Green",1310.64,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,6.75,0.16,"None",1400,"bad"
"Indonesia","2011","Other","Natural / Dry",7.33,7,6.5,6.08,7.58,6.33,9.33,10,9.33,6.67,0.12,"None",3500,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.08,6.83,6.83,7.17,7.17,7.08,10,7.33,10,6.58,0.12,"Green",1250,"bad"
"Honduras","2014","Other","Natural / Dry",6.83,6.83,6.67,6.83,7,6.83,9.33,8.67,10,7,0.11,"Green",1350,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.92,7.58,7.17,7.58,7.33,7.17,8,8,8,6.83,0.11,"Green",1310.64,"bad"
"Mexico","2012","Other","Washed / Wet",7.5,7.25,6.92,7,7.17,6.83,8,8,10,6.83,0.11,"Green",1100,"bad"
"Mexico","2012","Other","Washed / Wet",7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,6.58,0.11,"Green",1200,"bad"
"Mexico","2012","Typica","Washed / Wet",7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10,6.75,0.13,"Bluish-Green",1280,"bad"
"Mexico","2012","Typica","Washed / Wet",7,6.92,6.75,6.92,7.17,6.83,10,6.67,10,6.75,0.14,"Green",850,"bad"
"Mexico","2012","Typica","Washed / Wet",7.08,6.75,6.58,7,7,6.75,8.67,8.67,10,6.42,0.17,"None",1500,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,6.75,6.67,7.25,7.5,7,10,5.33,10,7,0.12,"Green",1250,"bad"
"Mexico","2013","Typica","Washed / Wet",7.08,7,6.83,7.5,7.33,6.83,8,7.33,10,6.75,0.12,"Green",1700,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",6.5,6.33,6.5,7.5,7.33,6.83,8.67,10,8.67,6,0.11,"Green",1310.64,"bad"
"Mexico","2012","Typica","Washed / Wet",7,6.58,6.67,6.83,7.08,6.83,10,6.67,10,6.67,0.14,"Green",1140,"bad"
"Mexico","2012","Typica","Washed / Wet",6.92,6.42,6.17,7.33,7.25,6.75,10,6.67,10,6.5,0.13,"None",1200,"bad"
"Mexico","2012","Typica","Washed / Wet",7.67,7,7.17,7.58,7.33,7.33,10,2.67,10,7.08,0.12,"Green",1250,"bad"
"Honduras","2014","Other","Washed / Wet",7,7.17,6.83,7.17,7,7.17,8,8,8,7.08,0.11,"Green",1350,"bad"
"Costa Rica","2014","Caturra","Washed / Wet",6.33,6.5,6.33,6.83,6.33,6.5,10,6.67,10,6.25,0.11,"Green",1200,"bad"
"Mexico","2012","Other","Washed / Wet",6.92,6.92,6.92,6.92,7.17,7,10,2.67,10,6.58,0.12,"Green",800,"bad"
"Mexico","2012","Bourbon","Washed / Wet",6.5,6.67,6.42,7.17,7.33,6.5,8,6,10,6.42,0.11,"Green",1800,"bad"
"Mexico","2014","Typica","Washed / Wet",6.92,7,6.83,6.92,7.42,6.92,6,6,10,6.75,0.12,"Green",1000,"bad"
"Honduras","2014","Catuai","Washed / Wet",6.67,6.5,6.17,6.67,6.83,6.17,8,8,8,6.33,0.1,"Green",1450,"bad"
"Honduras","2014","Catuai","Washed / Wet",7,6.17,6.17,6.67,6.5,6.17,8,8,8,6.5,0.1,"Green",1450,"bad"
"Honduras","2014","Catuai","Washed / Wet",7,6.33,6.17,6.5,6.67,6.17,8,8,8,6.33,0.1,"Green",1450,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.08,6.83,6.25,7.42,7.25,6.75,10,0,10,6.75,0.11,"None",900,"bad"
"Haiti","2012","Typica","Natural / Dry",6.75,6.58,6.42,6.67,7.08,6.67,9.33,6,6,6.42,0.14,"Blue-Green",350,"bad"
"Nicaragua","2016","Caturra","Other",7.25,6.58,6.33,6.25,6.42,6.08,6,6,6,6.17,0.13,"Green",1100,"bad"
"Guatemala","2012","Catuai","Washed / Wet",7.5,6.67,6.67,7.67,7.33,6.67,8,1.33,1.33,6.67,0.1,"Green",1417.32,"bad"
